key,KR
cd5dd740,10초 파워
f35caee2,12시간제
23b61a55,24시간제
b6cb4906,30초 파워
4c6deaed,3D 구역
027a3b60,3초 파워
029a173b,48 시간
43e96561,6 시간
1608309e,고도계
e9af36c2,이전의
9ec4f0db,부터
2c2f4f6a,고도 적응
36754d7e,열 적응
e7186fc3,활동/휴식
df02b76d,모든 통계
af8b1f78,출발점으로
05fd9297,삭제
0a0dfd60,완료
aba22804,심박 다운로드
c7d4e66f,고도표
9e52d662,출발
dc3ba337,심박수
07abd41c,인터벌 정보
3d8798fe,랩
7a915634,지도
9fe23534,동작
ce97648c,포즈
992e97ab,파워
ab8bebb2,루트
2033af1e,활강
05d8dcad,세트
67fa6dbc,운동 효율
602f4ca3,확인
a6d44b74,파도
8de128dd,사용 안 함
594c2278,시간당 킬로미터
a482fec5,노트
6dd427ad,시간당 마일
2ee70454,해리
ef2700e9,급성 범위보다 낮은 최근 부하는 회복에 도움이 되지만 디트레이닝 상태가 될 수 있습니다.
fc17231c,급성 부하가 체력을 유지 또는 개선하는 최적 범위 내에 있습니다.
8d36e2f7,급성 부하가 체력을 개선하는 최적 범위의 상위 수준에 있습니다.
fef6d56a,급성 부하가 최적 범위를 넘었습니다. 더 많은 시간 동안 회복하세요.
1255603d,급성 부하가 최적 범위보다 크게 높아 회복에 더 많은 시간이 필요합니다. 이 부하 수준에서 계속 훈련하는 것은 권장하지 않습니다.
46a0bb7c,"급성 부하는 최근 운동 부하 점수에 대한 가중치 합계입니다. 체력 수준 및 트레이닝 기록에 따라 낮음, 최적 또는 높음으로 등급이 지정됩니다."
61970c1b,급성 부하
16ded823,급성 부하
162435d7,새로 추가
427c679a,시작 시각
65eb1f08,중지 시간
89ca78f2,현재 시각
9dcdb37d,활성 어드벤처 레이스
b9bea68c,알림
157585da,고도 조정
ad3bdad7,취침 타이머 종료
095f35a1,숨겨진 콘텐츠
6.07E+08,레이스 종료 시 확인하기 위해 어드벤처 레이스의 시작 시각이 기록됩니다. 활동을 중지하지 않으면 이 모드에서 나갈 수 없습니다.\n\nGPS 및 내비게이션은 기록되지만 볼 수 없습니다.
d49554da,랩
dbc9b122,취침 타이머
4314d5f3,취침 타이머
cf2b9fd7,활동 중지
3378ab76,사용자 지정
480f0467,수분 보충
330725c3,음식 섭취
c15f52b1,집으로
c756b8c4,되돌아가기
174cf381,상승
5b629086,케이던스
8deb72bf,칼로리
e10bf0bb,하강
056eeba0,거리
778825fc,심박수
9ab69283,스트로크 율
7bde0928,페이스
4ed0adf3,페이스
9e3339fc,파워
a13a9e24,케이던스
069e1888,러닝
9574191b,스트로크 율
3f67dcd2,속도
960de2de,시간
5f075262,걷기
637c9f69,고도계
97c49338,"적응은 2,800피트에서 13,100피트 사이의 고도에서 하루 이상 활동하면 활성화됩니다."
68aa3dc3,"적응은 850미터에서 4,000미터 사이의 고도에서 하루 이상 활동하면 활성화됩니다."
c92eaabe,평균 PULSE OX
34b7a9cb,평균호흡수
eac7bd3a,평균 안정시 심박수
8b67706a,%2에 %1% 적응
86b24f5c,현재 고도: %1
cda2c617,현재 고도 %1피트에 완전히 적응하셨습니다.
8f6a3e3a,현재 고도 %1미터에 완전히 적응하셨습니다.
4ac0d1ba,비활성화
45381407,이제 더 낮은 고도에 있으므로 적응도에 따라 향상을 경험하실 수 있습니다.
917b80fd,현재 고도 %2피트에 %1% 적응하셨습니다.
bce31abc,현재 고도 %2미터에 %1% 적응하셨습니다.
9241e53c,고도 적응
f202eab3,랩 상승
0f03185a,랩 상승
cfe6deb0,랩 상승
cee6dd1d,랩 상승
55ab11ff,랩 하강
6aab330e,랩 하강
13b7760c,랩 하강
2ab79a41,랩 하강
c4fd08ac,최종랩 상승
dbfd2ce1,최종랩 상승
86f16e1f,최근랩 상승
9bf18f2e,최근랩 상승
ad9f98a6,최종랩 하강
c89fc327,최종랩 하강
ef8a3a3d,최근랩 하강
f08a3bd0,최근랩 하강
79f89dc2,최근 동작 상승
6cf8894b,최근 동작 상승
1be24379,최근 동작 상승
34e26ad4,최근 동작 상승
65841788,최근 동작 하강
5483fcc5,최근 동작 하강
a777b37b,최근 동작 하강
94779592,최근 동작 하강
fe2a0e13,동작 상승
1b2a3bba,동작 상승
5c0ecb90,동작 상승
5b0ec9fd,동작 상승
1f60dc5f,동작 하강
3460fd6e,동작 하강
5d6e09ec,동작 하강
746e2e21,동작 하강
c95ee85b,없음
a72e98dc,총 상승
9e2e8ab1,상승
6922fe4f,총 상승
5e22ecfe,총 상승
b048dd76,총 하강
ab48d597,하강
7232b58d,총 하강
533284c0,총 하강
7d8f0136,AM
a07de5e1,배터리 수명 늘리기
5fc17280,추가
c1168b07,운동 복사
74ad137d,완료
fefa7c61,즐겨찾기
7440640e,즐겨찾기
de029b5b,운동 복사
b595455c,장치에서 삭제
895f4523,즐겨찾기에서 제거
20c2eb1d,목록에서 제거
799e81c2,즐겨찾기에 추가
3.06E+52,활동 목록
7255c42e,내 주변
5d70b910,출발점으로
bba453a4,호흡법
12918415,파워 보정
2e7ae304,보정
44d450a0,Connect IQ 항목
2dc98396,목적지 좌표
908daa88,코스
a3f495f4,임계 수영 속도
eccb70a6,FTP 테스트
a45d3161,XERO 위치
870fbca4,인터벌
d20a0021,최근 저장한 MOB
6b2d108c,POI
315ba366,음악 제어
3c353272,메트로놈 음소거
5d208249,페이스 알림 음소거
3d08fc06,내비게이션
239ec84c,내비게이션 설정
1aebd719,주변 지인들
d8803447,PacePro 계획
2a05c97d,페이스 알림
9fe88ac7,출발선에 핑을 보내세요
b83c97cd,파워 모드
96874c93,활동 기록과 경기하기
a9b134d7,레가타 타임
5cf77198,왕복 코스
0e7daf8b,위치 저장
9212dec6,저장 위치
a4585fee,구간 정보
bd30075f,바퀴 크기 설정
9fb0a464,목표 설정
1bce15ba,%1 설정
bb583577,Sight 'N Go
8c963efd,스마트 트레이너 옵션
d7e7f292,코스 종료
1c87520e,LiveTrack 종료
fa7e34bd,안내 종료
849d6b11,PacePro 종료
9fb1583e,구간 종료
12e5ca3a,택 앵글
9c7ab618,임계값 테스트
60eca9cf,훈련 일정
5eb92a26,트레이닝
2f11f63e,진풍 방향
b0f987fd,턴바이턴
1f28a8c5,메트로놈 음소거
bff61dfb,맵 사용
36545bed,VIRB
e6989f4a,PacePro 분할 보기
5dba7d76,활강 보기
f5092334,워크아웃
1b9dd607,팬/줌
2f39f40d,4월
56d8b641,4월
761a2a4e,4월
86a9c5ca,지점 선택
063cf0e0,무인지급기
d84595dc,축하합니다! 계획 완료.
06703d4f,계획 없음
9829ec30,워크아웃 없음
dfc8fe5d,매우 좋음
bb6c7c26,굿잡
b542758e,더 힘내세요!
c7e70f58,Garmin Connect을 사용하여 Garmin 트레이너 훈련계획을 설치하세요.
d39f1eb7,Garmin Connect Mobile과 동기화하여 다음 워크아웃 얻으세요.
134ea0c4,휴식일
b459dbf0,다음 운동을 위해 동기화하세요.
d6c390ee,오늘
a2b9bc44,내일
9073dae7,%1주째
32791883,워크아웃 완료
6b8cd407,어제
5ce7bccf,8월
b1097047,8월
689fa444,8월
bcc1f4a2,활동을 시작할 때 해발을 확인하라는 메시지가 표시됩니다.
fd5d026a,야간
ee0a228a,평균
a95f498f,맵 포인트 주변
fbdf844c,A (녹색-우현)
77cb5725,비정상적인 심박수
be50c82f,설정치보다 높은 심박수 감지됨.
