,key,KR,NL
0,cd5dd740,,10s verm.
1,f35caee2,12시간제,
2,23b61a55,24시간제,
3,b6cb4906,,30s verm.
4,4c6deaed,3D 구역,
5,027a3b60,,3s verm.
6,029a173b,48 시간,
7,43e96561,6 시간,
8,1608309e,고도계,
9,e9af36c2,,Vorige
10,9ec4f0db,,Sinds
11,2c2f4f6a,,Hoogte-acclimatisering
12,36754d7e,,Warmte-acclimatisering
13,e7186fc3,활동/휴식,
14,df02b76d,모든 통계,
15,af8b1f78,출발점으로,
16,05fd9297,삭제,
17,0a0dfd60,완료,
18,aba22804,심박 다운로드,
19,c7d4e66f,고도표,
20,9e52d662,출발,
21,dc3ba337,심박수,
22,07abd41c,인터벌 정보,
23,3d8798fe,랩,
24,7a915634,지도,
25,9fe23534,동작,
26,ce97648c,포즈,
27,992e97ab,파워,
28,ab8bebb2,루트,
29,2033af1e,활강,
30,05d8dcad,세트,
31,67fa6dbc,운동 효율,
32,602f4ca3,확인,
33,a6d44b74,파도,
34,8de128dd,사용 안 함,
35,594c2278,시간당 킬로미터,
36,a482fec5,노트,
37,6dd427ad,시간당 마일,
38,2ee70454,해리,
39,ef2700e9,급성 범위보다 낮은 최근 부하는 회복에 도움이 되지만 디트레이닝 상태가 될 수 있습니다.,
40,fc17231c,급성 부하가 체력을 유지 또는 개선하는 최적 범위 내에 있습니다.,
41,8d36e2f7,급성 부하가 체력을 개선하는 최적 범위의 상위 수준에 있습니다.,
42,fef6d56a,급성 부하가 최적 범위를 넘었습니다. 더 많은 시간 동안 회복하세요.,
43,1255603d,급성 부하가 최적 범위보다 크게 높아 회복에 더 많은 시간이 필요합니다. 이 부하 수준에서 계속 훈련하는 것은 권장하지 않습니다.,
44,46a0bb7c,"급성 부하는 최근 운동 부하 점수에 대한 가중치 합계입니다. 체력 수준 및 트레이닝 기록에 따라 낮음, 최적 또는 높음으로 등급이 지정됩니다.",
45,61970c1b,급성 부하,
46,16ded823,급성 부하,
47,162435d7,새로 추가,
48,427c679a,시작 시각,
49,65eb1f08,중지 시간,
